i,j,owner1,owner2,token_set,rapidfuzz,levenshtein,core_sim,label
57560,191828,CITY MOTOCORP,CITY RIDE,61.53846153846154,54.54545454545454,8,61.53846153846154,
33772,271571,HARIHAR LOGISTICS MOVERS PACKERS,AJAY ROYAL PACKER S LOGISTIC,63.333333333333336,43.333333333333336,26,61.111111111111114,
154034,323860,PREMIER BARS,PREMIER MERCHANTS,73.6842105263158,68.96551724137932,7,73.6842105263158,
122549,315265,BABU JI FILLING STATION,LAL BABU SONS,61.111111111111114,44.44444444444444,18,61.111111111111114,
299988,325936,RAGHAV AUTO,RAGHAV METALS TRADE,70.58823529411765,60.0,10,100.0,
56395,195286,SRINIVASA TOURS TRAVELS,SRINIVASA PHARMA,72.0,61.53846153846154,11,100.0,
5,90919,AMARAVATHI GATEWAY,AMARAVATHI ENTERPRISES,71.42857142857143,65.0,9,100.0,
33796,117191,AS PACKERS PROVIDERS,CERTIFIED PACKERS MOVERS,63.63636363636363,63.63636363636363,13,63.63636363636363,
217391,320097,ELITE INDIA EXPORTS,ELITE BRIDGE BEARINGS,60.0,60.0,11,55.55555555555556,
196565,338601,SRINIVASA GAS AGENCIES,SRINIVASA ENGINEERING,69.76744186046511,65.11627906976744,10,100.0,
59997,297145,RACHHPAL AUTO ALLIANCE,BIO ALLIANCE HEALTHCARE,62.22222222222222,44.44444444444444,18,64.0,
194054,254558,JYOTI PROCESSORS,KOTHARI PROCESSORS,82.35294117647058,82.35294117647058,5,82.35294117647058,
69012,268466,CITY LAKE HOTEL,CITY,100.0,42.10526315789473,11,100.0,
12582,80724,SULZER PROCESSORS,SHREE SHYAM PROCESSORS,74.07407407407408,66.66666666666667,9,74.07407407407408,
47362,54965,CONCEPT POWERTECH,CONCEPT MOTORCAR,66.66666666666666,66.66666666666667,7,66.66666666666666,
96048,112030,RIO UNIVERSAL,UNIVERSAL STARCH CHEM ALLIED,81.81818181818181,43.90243902439024,23,81.81818181818181,
78694,251889,SSS PREMIER FOODS,PREMIER CNC PRESS SHOP,61.53846153846154,46.15384615384615,17,77.77777777777777,
159013,333240,VENKATESWARA STORES,VENKATESWARA PLASTERS,85.0,85.0,5,85.0,
280410,334090,EASY TOURS TRAVELS,LEO EASY SERVICES,62.857142857142854,57.14285714285714,14,100.0,
42867,223302,SAI PACKERS TRADERS,MAHAMAYA PACKERS MOVERS,61.904761904761905,61.904761904761905,11,77.77777777777777,
117544,323545,BHILWARA MINES MINERALS,NRSKS MINES MINERALS,82.35294117647058,74.4186046511628,8,82.35294117647058,
210875,315587,MANAGING PARTNER K D THOMAS,PROPRIETOR MANI THOMAS MANI,65.3061224489796,44.44444444444444,22,65.3061224489796,
252828,325012,L I C OF INDIA U C ASHOK KUMAR,ASHOK SALES,62.5,34.14634146341463,24,62.5,
17575,346298,PIONEER SMT TECHNOLOGIES,PIONEER STEELS,68.42105263157895,68.42105263157895,11,100.0,
195278,340324,PARAMOUNT OFFICE SYSTEMS,SYNERGY OFFICE AUTOMATION,61.224489795918366,44.89795918367348,18,61.224489795918366,
161533,314211,RADHA KRISHAN PACKERS,MEEM PACKERS,73.6842105263158,48.484848484848484,13,73.6842105263158,
13713,247466,MOHAN MINES,MAA ANJANI MINES MINERALS,62.5,50.0,16,62.5,
109286,296731,UNIVERSAL BLUE METALS INDIA,UNIVERSAL INFRA,75.0,61.904761904761905,14,100.0,
22089,195286,M SRINIVASA MUDALIAR SONS,SRINIVASA PHARMA,72.0,58.53658536585367,13,72.0,
106182,298119,SUNNY MATHEW PROPRIETOR,PROPRIETOR SHAJI MATHEW,85.0,43.47826086956522,22,85.0,
88821,251648,DIRECTOR JOSEPH RUBBERS INDIA,PROPRIETOR ROSE RANI JOSEPH,64.28571428571428,46.42857142857143,21,64.0,
47435,216446,PREMIER AD WORKS,PREMIER AGENCIES,62.5,62.5,6,100.0,
102117,291464,ASHOK ENGINEERING,GARG ASHOK,66.66666666666666,37.03703703703704,16,100.0,
101202,228372,HAUM ALLIANCE,UNITED ALLIANCE HEALTH CARE,76.19047619047619,50.0,18,76.19047619047619,
84163,219624,UNIVERSAL SILK MILLS,UNIVERSAL INFRA,75.0,62.857142857142854,9,100.0,
245600,284744,ALLIANCE CURE,ALLIANCE PREMIUM CONSTRUCTION,76.19047619047619,52.38095238095239,18,76.19047619047619,
